codigo_ocorrencia1;ocorrencia_tipo;taxonomia_tipo_icao
88808;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88804;OPERAÇÕES NO SOLO;[RAMP]
88794;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88783;COLISÃO COM AVE;BIRD
88769;EXCURSÃO DE PISTA;RE
88768;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88767;VOO CONTROLADO CONTRA O TERRENO;CFIT
88766;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
88765;GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS);ATM/CNS
88765;TRÁFEGO AÉREO;MAC
88764;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
88762;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88761;TRÁFEGO AÉREO;MAC
88760;COLISÃO NO SOLO;GCOL
88759;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88758;COMBUSTÍVEL;FUEL
88758;INCURSÃO EM PISTA;RI
88757;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88756;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88755;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
88754;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88750;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88749;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88747;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88746;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88744;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88743;COLISÃO COM AVE;BIRD
88742;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88741;COLISÃO COM AVE;BIRD
88740;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88739;COLISÃO COM AVE;BIRD
88738;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88737;INDETERMINADO;UNK
88737;TURBULÊNCIA;TURB
88736;TRÁFEGO AÉREO;MAC
88734;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88733;GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS);ATM/CNS
88732;COLISÃO COM AVE;BIRD
88731;COLISÃO COM AVE;BIRD
88730;COLISÃO COM AVE;BIRD
88729;COLISÃO COM AVE;BIRD
88728;COLISÃO COM AVE;BIRD
88727;COLISÃO COM AVE;BIRD
88726;COLISÃO COM AVE;BIRD
88725;COLISÃO COM AVE;BIRD
88724;TRÁFEGO AÉREO;MAC
88723;OUTROS;OTHR
88722;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88720;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88719;TRÁFEGO AÉREO;MAC
88718;TRÁFEGO AÉREO;MAC
88717;TRÁFEGO AÉREO;MAC
88716;TRÁFEGO AÉREO;MAC
88715;INCURSÃO EM PISTA;RI
88714;INCURSÃO EM PISTA;RI
88712;TRÁFEGO AÉREO;MAC
88710;PERDA DE CONTROLE EM VOO;LOC-I
88709;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88708;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88707;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88706;COLISÃO COM AVE;BIRD
88705;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88704;OUTROS;OTHR
