arquivo,numero,codigo_ocorrencia,join,fatal,n_fatalidades,nivel_dano,h_total,h_tipo,h_total_30d,h_total_24h,idade_pic,fonte_horas,tipo_operacao,fase_voo,motor_tipo,motor_qtd,pmd,assentos,ano_fabricacao,fabricante,modelo,tipo_ocorrencia,tipo_icao,uf,ano_ocorrencia,meteo,total_recomendacoes,fator_humano,fator_operacional,fator_material,n_fatores
CJB_encdivulgacao..pdf,A-125/CENIPA/2016,65774,numero,1,4,DESTRUÍDA,447.0,46.17,9.75,0.0,,tabela,PRIVADA,CRUZEIRO,PISTÃO,2,2404,6,1972,BEECH AIRCRAFT,E55,PERDA DE CONTROLE EM VOO,LOC-I,MT,2016,,0,1,1,0,5
MMCDS_encdivulgacao.pdf,A-548/CENIPA/2017,44541,mat_unico,1,4,SUBSTANCIAL,865.0,60.0,73.0,6.0,,tabela,INSTRUÇÃO,DESCIDA,PISTÃO,2,1905,6,1972,PIPER AIRCRAFT,PA-34-200,DESORIENTAÇÃO ESPACIAL,OTHR,SP,2011,VMC,3,1,1,0,3
N1001R_21SET2016_AC..pdf,A-124/CENIPA/2016,65754,numero,0,0,SUBSTANCIAL,11000.0,1426.0,34.0,1.58,,tabela,AGRÍCOLA,DESCIDA,TURBOÉLICE,1,5670,1,2016,AIR TRACTOR,AT-602,FALHA DO MOTOR EM VOO,SCF-PP,SP,2016,VMC,2,0,0,0,1
N154KQ_10NOV2017_AC..pdf,A-139/CENIPA/2017,77354,numero,0,0,DESTRUÍDA,3000.0,8.75,8.0,5.0,,tabela,PRIVADA,DECOLAGEM,TURBOÉLICE,1,3291,0,2015,QUEST AIRCRAFT,KODIAC 100,FALHA DO MOTOR EM VOO,SCF-PP,GO,2017,,1,1,1,0,3
PP-ARX_27_06_2018_AC..pdf,A-108/CENIPA/2018,78011,numero,0,0,SUBSTANCIAL,340.0,140.0,,,,narrativa,PRIVADA,DESCIDA,PISTÃO,1,1633,5,0,CIRRUS DESIGN,SR22,POUSO EM LOCAL NÃO PREVISTO,OTHR,MT,2018,VMC,0,1,1,0,5
PP-BBV_02-01-2021-AC-PUB..pdf,A-001/CENIPA/2021,79949,numero,0,0,SUBSTANCIAL,4606.33,1138.25,84.58,2.58,,tabela,TÁXI AÉREO,POUSO,JATO,2,7031,10,1995,LEARJET,31A,POUSO LONGO,RE,MG,2021,,1,1,1,0,6
PP-CRE_06_04_2022-PORT-PUB..pdf,A-043/CENIPA/2022,80633,numero,0,0,SUBSTANCIAL,7356.6,993.5,34.9,0.0,,tabela,PRIVADA,DECOLAGEM,TURBOÉLICE,1,3175,1,2019,AIR TRACTOR,AT-402B,EXCURSÃO DE PISTA,RE,MT,2022,,0,0,1,0,3
PP-DFM_20_08_2019-AC..pdf,A-122/CENIPA/2019,78775,numero,0,0,SUBSTANCIAL,200.0,4.0,,,,narrativa,INSTRUÇÃO,DECOLAGEM,PISTÃO,1,658,2,0,CESSNA AIRCRAFT,120,EXCURSÃO DE PISTA,RE,MT,2019,,1,0,1,0,3
PP-EMF_06_01_2021-PUB..pdf,A-004/CENIPA/2021,79814,numero,0,0,SUBSTANCIAL,3800.0,,,,,narrativa,INSTRUÇÃO,POUSO,PISTÃO,1,757,2,1977,CESSNA AIRCRAFT,152,POUSO BRUSCO,ARC,MG,2021,,1,1,1,0,3
PP-FGD_08_09_2016-ACID_1.pdf,A-116/CENIPA/2016,65622,numero,0,0,SUBSTANCIAL,800.0,,,,,narrativa,INSTRUÇÃO,POUSO,PISTÃO,1,770,2,1988,AERO BOERO,AB-115,EXCURSÃO DE PISTA,RE,RS,2016,VMC,0,0,1,0,2
